INFO 2020-05-21 16:57:39,519 autoreload 18577 140543596840704 Watching for file changes with StatReloader
DEBUG 2020-05-21 16:57:39,520 autoreload 18577 140543596840704 Waiting for apps ready_event.
DEBUG 2020-05-21 16:57:39,527 autoreload 18577 140543596840704 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2020-05-21 16:57:39,527 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,527 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/venv/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,528 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/venv/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,528 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/venv/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,533 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/venv/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,533 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/venv/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,533 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/venv/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,533 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/accounts/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,534 autoreload 18577 140543596840704 Watching dir /home/mieone/Downloads/djangoCMS/venv/lib/python3.7/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2020-05-21 16:57:39,618 utils 18577 140543511312128 (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG 2020-05-21 16:57:39,622 utils 18577 140543511312128 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
DEBUG 2020-05-21 16:57:39,653 autoreload 18577 140543596840704 File /usr/lib/python3.7/weakref.py first seen with mtime 1583865830.0
DEBUG 2020-05-21 16:57:39,653 autoreload 18577 140543596840704 File /usr/lib/python3.7/distutils/__init__.py first seen with mtime 1583865832.0
DEBUG 2020-05-21 16:57:39,653 autoreload 18577 140543596840704 File /home/mieone/Downloads/djangoCMS/venv/lib/python3.7/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1589608816.0565283
DEBUG 2020-05-21 16:57:39,653 autoreload 18577 140543596840704 File /usr/lib/python3.7/dis.py first seen with mtime 1583865830.0
